EventName (required),DelegateType,CreatesEventMember (bool),ConditionCode,Arguments,ExternalEvent
BackPushed,Action,TRUE,(FlatRedBall.Input.InputManager.Xbox360GamePads[0].ButtonPushed(FlatRedBall.Input.Xbox360GamePad.Button.Back) || FlatRedBall.Input.InputManager.Keyboard.KeyPushed(Microsoft.Xna.Framework.Input.Keys.Back)),,
Click,FlatRedBall.Gui.WindowEvent,FALSE,,FlatRedBall.Gui.IWindow callingWindow,
ClickNoSlide,FlatRedBall.Gui.WindowEvent,FALSE,,FlatRedBall.Gui.IWindow callingWindow,
SlideOnClick,FlatRedBall.Gui.WindowEvent,FALSE,,FlatRedBall.Gui.IWindow callingWindow,
Push,FlatRedBall.Gui.WindowEvent,FALSE,,FlatRedBall.Gui.IWindow callingWindow,
DragOver,FlatRedBall.Gui.WindowEvent,FALSE,,FlatRedBall.Gui.IWindow callingWindow,
RollOn,FlatRedBall.Gui.WindowEvent,FALSE,,FlatRedBall.Gui.IWindow callingWindow,
RollOff,FlatRedBall.Gui.WindowEvent,FALSE,,FlatRedBall.Gui.IWindow callingWindow,
LosePush,FlatRedBall.Gui.WindowEvent,FALSE,,FlatRedBall.Gui.IWindow callingWindow,
AfterVisibleSet,,FALSE,,"object sender, EventArgs e",
BeforeVisibleSet,,FALSE,,"object sender, EventArgs e",
CollectionChanged,System.Collections.Specialized.NotifyCollectionChangedEventHandler,,,"object sender, System.Collections.Specialized.NotifyCollectionChangedEventArgs e",
ResolutionOrOrientationChanged,System.EventHandler,FALSE,,"object sender, EventArgs e",FlatRedBall.FlatRedBallServices.GraphicsOptions.SizeOrOrientationChanged
InitializeEvent,System.EventHandler,TRUE,,"object sender, EventArgs e",
BeforeCollision,Action,FALSE,,,FlatRedBall.Math.Collision.CollisionManager.Self.BeforeCollision
Died,"Action<decimal, IDamageArea>",FALSE,,"decimal damage, FlatRedBall.Entities.IDamageArea damageArea",
ReactToDamageReceived,"Action<decimal, IDamageArea>",FALSE,,"decimal damage, FlatRedBall.Entities.IDamageArea damageArea",
ReactToDamageDealt,"Action<decimal, IDamageable>",FALSE,,"decimal damage, FlatRedBall.Entities.IDamageable damageable",
KilledDamageable,"Action<decimal, IDamageable>",FALSE,,"decimal damage, FlatRedBall.Entities.IDamageable damageable",
RemovedByCollision,Action<IDamageable>,FALSE,,FlatRedBall.Entities.IDamageable damageable,
