"EventName (required)","DelegateType","CreatesEventMember (bool)","ConditionCode","Arguments","IncludeInClass","IncludeInInstance","ExternalEvent"
"BackPushed","Action","TRUE","(InputManager.Xbox360GamePads[0].ButtonPushed(Xbox360GamePad.Button.Back) || InputManager.Keyboard.KeyPushed(Keys.Back))",,"TRUE","TRUE",
"StartPushed","Action","TRUE","InputManager.Xbox360GamePads[0].ButtonPushed(Xbox360GamePad.Button.Start)",,"TRUE","TRUE",
"Click","FlatRedBall.Gui.WindowEvent","FALSE",,"FlatRedBall.Gui.IWindow callingWindow","TRUE","TRUE",
"ClickNoSlide","FlatRedBall.Gui.WindowEvent","FALSE",,"FlatRedBall.Gui.IWindow callingWindow","TRUE","TRUE",
"SlideOnClick","FlatRedBall.Gui.WindowEvent","FALSE",,"FlatRedBall.Gui.IWindow callingWindow","TRUE","TRUE",
"Push","FlatRedBall.Gui.WindowEvent","FALSE",,"FlatRedBall.Gui.IWindow callingWindow","TRUE","TRUE",
"DragOver","FlatRedBall.Gui.WindowEvent","FALSE",,"FlatRedBall.Gui.IWindow callingWindow","TRUE","TRUE",
"RollOn","FlatRedBall.Gui.WindowEvent","FALSE",,"FlatRedBall.Gui.IWindow callingWindow","TRUE","TRUE",
"RollOff","FlatRedBall.Gui.WindowEvent","FALSE",,"FlatRedBall.Gui.IWindow callingWindow","TRUE","TRUE",
"LosePush","FlatRedBall.Gui.WindowEvent","FALSE",,"FlatRedBall.Gui.IWindow callingWindow","TRUE","TRUE",
"AfterVisibleSet",,"FALSE",,"object sender, EventArgs e","TRUE","TRUE",
"BeforeVisibleSet",,"FALSE",,"object sender, EventArgs e","TRUE","TRUE",
"CollectionChanged","System.Collections.Specialized.NotifyCollectionChangedEventHandler",,,"object sender, System.Collections.Specialized.NotifyCollectionChangedEventArgs e","TRUE","TRUE",
"ResolutionOrOrientationChanged","System.EventHandler","FALSE",,"object sender, EventArgs e","TRUE","TRUE","FlatRedBall.FlatRedBallServices.GraphicsOptions.SizeOrOrientationChanged"
