FriendlyName,RuntimeTypeName,QualifiedRuntimeTypeName,SaveTypeName,Extension,AddToManagersMethod,LayeredAddToManagersMethod,MakeManuallyUpdatedMethod,ActivityMethod,AfterCustomActivityMethod,DestroyMethod,RecycledDestroyMethod,ShouldBeDisposed,ExtraVariablesPattern,ShouldAttach,AttachToNullOnlyMethod,FindByNameSyntax,MustBeAddedToContentPipeline,CanBeCloned,HasCursorIsOn,HasVisibleProperty,PostInitializeCode,ContentImporter,ContentProcessor
Animation 3D List (.a3dx),Animation3DList,FlatRedBall.Graphics.Animation3D.Animation3DList,FlatRedBall.Content.Animation3D.Animation3DListSave,a3dx,,,,,,,,,,,,,,,,,,,
Animation Chain List (.achx),AnimationChainList,FlatRedBall.Graphics.Animation.AnimationChainList,FlatRedBall.Content.AnimationChain.AnimationChainListSave,achx,,,,,,,,,,FALSE,,"[""OBJECTNAME""]",FALSE,FALSE,FALSE,FALSE,,AnimationChainArrayImporter,AnimationChainArrayProcessor
Scene (.scnx),Scene,FlatRedBall.Scene,FlatRedBall.Content.SpriteEditorScene,scnx,this.AddToManagers(),this.AddToManagers(mLayer),this.ConvertToManuallyUpdated(),,this.ManageAll(),"this.RemoveFromManagers(ContentManagerName != ""Global"")",this.RemoveFromManagers(false),,,TRUE,AttachAllDetachedTo,"FindByName(""OBJECTNAME"")",FALSE,TRUE,TRUE,TRUE,,SceneFileImporter,SceneFileProcessor
Shape Collection (.shcx),ShapeCollection,FlatRedBall.Math.Geometry.ShapeCollection,FlatRedBall.Content.Math.Geometry.ShapeCollectionSave,shcx,this.AddToManagers(),this.AddToManagers(mLayer),,,,"this.RemoveFromManagers(ContentManagerName != ""Global"")",this.RemoveFromManagers(false),,,TRUE,AttachAllDetachedTo,"FindByName(""OBJECTNAME"")",FALSE,TRUE,TRUE,TRUE,,ShapeCollectionImporter,ShapeCollectionProcessor
Emitter List (.emix),EmitterList,FlatRedBall.Graphics.Particle.EmitterList,FlatRedBall.Content.Particle.EmitterSaveList,emix,this.AddToManagers(),this.AddToManagers(mLayer),,,,"this.RemoveFromManagers(ContentManagerName != ""Global"")",this.RemoveFromManagers(false),,,TRUE,AttachAllDetachedTo,"FindByName(""OBJECTNAME"")",FALSE,TRUE,FALSE,FALSE,,EmitterImporter,EmitterProcessor
Sprite Rig (.srgx),SpriteRig,FlatRedBall.ManagedSpriteGroups.SpriteRig,FlatRedBall.Content.SpriteRig.SpriteRigSave,srgx,this.AddToManagers(),,,,this.Manage(),this.Destroy(),,,,TRUE,,,FALSE,TRUE,FALSE,FALSE,,SpriteRigImporter,SpriteRigProcessor
Node Network (.nntx),NodeNetwork,FlatRedBall.AI.Pathfinding.NodeNetwork,FlatRedBall.Content.AI.Pathfinding.NodeNetworkSave,nntx,,,,,,,,,,FALSE,,"FindByName(""OBJECTNAME"")",FALSE,FALSE,FALSE,FALSE,,NodeNetworkImporter,NodeNetworkProcessor
,,,,,,,,,,,,,,,,,,,,,,,
Spline List (.splx),SplineList,FlatRedBall.Math.Splines.SplineList,FlatRedBall.Content.Math.Splines.SplineSaveList,splx,,,,,,,,,,FALSE,,"FindByName(""OBJECTNAME"")",FALSE,TRUE,FALSE,FALSE,,,
Text (.txt),string,string,,txt,,,,,,,,,,FALSE,,,FALSE,FALSE,TRUE,TRUE,,,
Texture (.bmp),Texture2D,Microsoft.Xna.Framework.Graphics.Texture2D,,bmp,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,TextureImporter,TextureProcessor
Texture (.png),Texture2D,Microsoft.Xna.Framework.Graphics.Texture2D,,png,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,TextureImporter,TextureProcessor
